"Slice"	"DetTime"	"DetKpts"	"MatchTime"	"MatchCount"	"MatchInliers"	"MatchRatio"	"Scale"	"ShiftX"	"ShiftY"	"Angle"
1	70.2313	1564	5.5892	1563	1563	1	1	0	0	0
2	70.0131	1535	5.4379	982	961	0.978615	0.999767	0.878016	1.41366	0.000110386
3	71.2568	1526	5.2549	1078	1070	0.992579	0.999632	-0.319273	0.193796	0.000412127
4	70.2947	1548	5.4359	1135	1126	0.99207	0.999263	-0.0546075	0.309895	0.000289331
5	70.8636	1617	5.619	1166	1156	0.991424	0.999419	-0.0909614	1.10678	4.59466e-05
6	71.6856	1668	5.8926	1185	1176	0.992405	0.999392	-0.201645	-0.32657	3.49465e-05
7	77.7332	1653	6.2088	1168	1154	0.988014	1.00027	-0.154284	-0.0933456	0.000141734
8	79.7721	1688	6.4271	1267	1252	0.988161	0.999481	-0.118331	0.270482	0.000277396
9	75.4033	1718	6.592	1282	1275	0.99454	0.999358	0.0591168	0.115693	-0.000450807
10	78.952	1732	7.2286	1236	1221	0.987864	1.00002	-0.280691	0.732645	-0.000142034
11	71.5057	1716	6.6061	1227	1214	0.989405	0.999075	0.210441	-0.341895	-0.000289791
12	77.6982	1701	7.1426	1225	1216	0.992653	0.999918	-0.0465206	0.291316	-0.000291568
13	68.5119	1696	6.5111	1211	1196	0.987614	1.00036	-0.521351	0.559676	-5.29324e-05
14	77.884	1708	6.2555	1229	1218	0.99105	0.999188	0.349332	0.0686213	-0.00011219
15	72.8326	1688	6.9387	1171	1158	0.988898	1.00019	-0.33797	0.160566	-6.44749e-05
16	78.4461	1677	6.2617	1174	1163	0.99063	0.999721	-0.382145	0.220776	-0.000129327
17	70.6192	1652	6.4847	1169	1154	0.987169	0.999507	0.0711571	0.221321	-0.000424781
18	70.7524	1636	6.1009	1138	1127	0.990334	0.999615	0.100093	0.0455448	9.20609e-05
19	68.9472	1640	6.031	1188	1173	0.987374	0.999334	-0.270958	0.319716	-0.000136874
20	71.9228	1693	6.4431	1168	1152	0.986301	1.00003	-0.240875	0.410721	-0.000119216
21	77.6144	1681	6.3166	1144	1132	0.98951	0.999945	-0.00351466	0.303699	-0.000494233
22	71.1624	1638	6.1159	1142	1135	0.99387	0.999923	-0.221911	0.422494	-0.000135807
23	69.0013	1647	6.1047	1205	1198	0.994191	0.99971	-0.155788	-0.266848	-1.95887e-05
24	69.3556	1670	6.2209	1202	1189	0.989185	0.999768	-0.144155	0.315585	-0.000185096
25	76.5581	1673	6.2957	1224	1217	0.994281	0.999724	-0.132752	0.435763	-0.000182221
26	71.4426	1673	6.7373	1672	64	0.0382775	1.00386	-1.063	-1.7453	-0.000666598
27	70.5434	1688	6.1977	1189	1176	0.989066	0.999064	0.0994622	-0.387572	5.93186e-05
28	77.6001	1669	6.3391	1198	1191	0.994157	1.00021	-0.389185	0.0531597	-0.000355162
29	70.4562	1656	6.1687	1245	1230	0.987952	1.00002	-0.208343	0.814212	-7.92378e-05
30	71.3332	1670	6.1872	1264	1251	0.989715	0.999416	0.0305916	-0.129543	-0.000239221
31	71.599	1689	6.1802	1210	1194	0.986777	1.00027	-0.17646	0.23632	-2.42616e-05
32	69.9778	1689	6.3843	1688	204	0.120853	1.00003	-0.330695	1.1544	-0.00149039
33	76.3921	1683	6.3483	1164	1150	0.987973	0.999818	-0.446196	-0.11125	-0.000301377
34	69.1607	1648	6.1609	1192	1177	0.987416	0.999343	0.0286028	-0.0254512	-0.000205956
35	68.1068	1645	6.3442	1193	1177	0.986588	1.00004	-0.145974	0.750327	-7.23223e-05
36	69.1017	1617	5.8671	1248	1236	0.990385	0.999982	-0.218267	0.341453	0.000176634
37	69.5	1660	5.9066	1129	1108	0.981399	1.00008	-0.174699	-0.326328	-8.44286e-05
38	82.6413	1701	6.3052	1175	1169	0.994894	0.999318	0.144201	0.758452	-0.00012754
39	71.4982	1707	6863.87	1264	1255	0.99288	0.999027	0.17243	-0.680809	0.000168067
40	64.7375	1764	5696.78	1276	1254	0.982759	0.999907	-0.185774	0.504459	0.000112872
41	65.0625	1738	3106.2	1268	1254	0.988959	0.999705	0.0294986	0.511203	-0.000252121
42	65.032	1744	6.7488	1253	1237	0.987231	0.999482	-0.0115119	-0.12948	-5.90963e-05
43	69.9858	1732	6.7011	1282	1271	0.99142	0.999741	-0.106735	0.154525	1.71286e-06
44	78.5251	1735	6.6013	1329	1317	0.990971	0.999381	0.121598	0.955444	-0.000227018
45	71.0465	1716	6.4451	1314	1298	0.987823	1.00007	-0.382894	-0.0461902	9.15264e-05
46	76.632	1657	6.6883	1241	1226	0.987913	0.999657	0.211433	0.18473	-0.000486282
47	69.4927	1670	6.0509	1225	1215	0.991837	0.999959	-0.465265	-0.181467	2.69757e-05
48	77.6641	1708	6.3519	1228	1222	0.995114	0.999724	0.139927	0.885406	-0.000163105
49	68.842	1722	6.4772	1241	1233	0.993554	0.999583	0.00375133	-0.478001	-6.02193e-05
